N,P,K,temperature,humidity,ph,rainfall,label
41,50,51,32.27,48.14,6.16,57.22,mothbeans
29,56,31,34.93,45.43,7.9,32.12,mothbeans
44,46,33,37.29,47.13,6.26,58.0,mothbeans
36,30,54,26.41,59.03,6.9,37.95,mothbeans
34,36,56,35.25,29.27,6.25,72.52,mothbeans
44,46,31,35.3,31.83,6.69,46.78,mothbeans
39,50,32,25.66,51.77,7.34,51.77,mothbeans
20,46,32,30.76,42.73,6.77,75.33,mothbeans
36,48,40,35.75,25.4,7.41,78.51,mothbeans
48,52,33,31.83,42.54,7.41,56.71,mothbeans
27,48,50,31.07,50.15,7.73,38.96,mothbeans
49,32,48,29.55,29.61,7.73,37.86,mothbeans
23,41,52,28.43,53.57,7.0,33.54,mothbeans
33,53,52,32.0,54.15,7.81,30.61,mothbeans
35,37,57,26.62,25.69,6.78,39.57,mothbeans
31,46,35,28.68,50.64,6.81,33.42,mothbeans
46,30,59,25.17,36.67,7.36,33.61,mothbeans
49,44,36,37.22,47.46,7.34,61.61,mothbeans
33,52,48,34.99,46.04,7.98,46.26,mothbeans
29,38,54,24.16,40.75,7.95,35.16,mothbeans
45,34,57,29.65,50.83,7.41,51.14,mothbeans
46,46,41,25.04,46.19,7.03,67.01,mothbeans
21,57,53,33.19,58.9,7.21,33.85,mothbeans
48,44,35,24.96,40.06,7.39,52.9,mothbeans
22,44,31,27.74,25.53,7.93,42.54,mothbeans
29,38,30,33.41,45.42,7.05,42.48,mothbeans
21,58,33,37.25,28.71,6.31,77.24,mothbeans
41,48,45,24.09,52.03,7.25,48.68,mothbeans
32,57,30,24.22,45.4,6.51,52.51,mothbeans
20,39,33,34.16,46.6,7.48,40.73,mothbeans
25,46,39,24.12,40.18,6.19,67.42,mothbeans
44,57,44,27.62,40.2,7.45,30.45,mothbeans
43,57,46,31.66,48.47,7.4,40.2,mothbeans
26,46,50,36.28,50.86,6.03,42.42,mothbeans
44,43,34,25.08,56.89,6.71,51.24,mothbeans
49,55,30,33.42,27.84,7.9,71.92,mothbeans
25,48,33,37.06,44.05,6.4,60.84,mothbeans
20,52,53,37.83,35.2,7.54,51.37,mothbeans
48,35,40,31.54,34.41,6.74,74.77,mothbeans
28,47,53,35.02,39.4,7.75,61.9,mothbeans
25,55,37,30.2,47.73,7.87,33.2,mothbeans
21,51,40,32.38,32.04,7.18,50.38,mothbeans
30,51,53,36.98,28.69,7.53,50.48,mothbeans
37,54,30,36.94,28.92,7.03,69.33,mothbeans
47,50,47,36.34,53.49,7.37,35.52,mothbeans
24,30,33,36.94,40.52,7.11,42.74,mothbeans
48,55,49,36.22,53.98,6.43,70.47,mothbeans
24,33,43,28.96,42.7,7.88,73.82,mothbeans
40,58,38,25.09,54.01,6.7,56.08,mothbeans
24,39,52,35.73,55.06,7.5,51.96,mothbeans
41,38,58,30.43,39.39,7.44,49.24,mothbeans
35,52,42,26.31,25.07,7.44,66.62,mothbeans
37,59,51,31.58,37.08,6.83,66.62,mothbeans
38,43,55,28.96,28.69,6.44,55.96,mothbeans
47,40,43,26.34,33.53,6.54,46.78,mothbeans
49,57,53,32.63,44.49,6.83,51.45,mothbeans
38,32,39,29.77,51.38,6.41,46.38,mothbeans
32,51,30,32.84,43.64,6.23,60.28,mothbeans
48,58,36,26.0,49.22,6.41,49.59,mothbeans
36,32,36,34.82,58.3,7.55,60.57,mothbeans
30,54,56,30.64,44.62,7.26,64.43,mothbeans
47,45,54,34.24,49.4,7.51,53.25,mothbeans
41,45,38,30.79,36.68,7.58,52.56,mothbeans
38,48,31,29.66,41.95,6.03,50.49,mothbeans
44,37,47,36.62,32.12,6.13,73.87,mothbeans
31,44,54,34.4,54.68,7.09,79.09,mothbeans
37,31,42,35.25,40.17,7.99,57.95,mothbeans
48,32,48,24.98,50.52,7.22,65.33,mothbeans
23,56,57,34.12,47.99,7.42,30.42,mothbeans
30,31,59,35.79,38.06,7.26,34.77,mothbeans
43,44,45,24.93,51.83,7.17,69.1,mothbeans
32,59,36,33.48,51.55,6.03,40.36,mothbeans
31,58,56,26.38,31.82,7.78,67.5,mothbeans
36,45,52,32.48,40.16,7.55,72.63,mothbeans
40,51,59,26.19,41.59,7.43,43.55,mothbeans
27,37,56,26.6,45.99,7.72,73.43,mothbeans
29,41,40,26.63,27.69,7.39,49.14,mothbeans
45,52,47,37.42,40.09,7.1,56.66,mothbeans
22,35,32,32.91,36.36,6.54,39.55,mothbeans
45,43,42,33.17,53.83,6.13,68.84,mothbeans
34,33,52,37.77,52.53,7.55,67.39,mothbeans
20,57,37,24.44,34.09,6.07,73.96,mothbeans
22,44,34,32.82,55.03,7.57,51.45,mothbeans
33,56,53,28.55,56.53,7.99,71.27,mothbeans
21,37,40,35.38,49.74,7.93,71.33,mothbeans
31,40,58,34.47,53.23,7.72,79.88,mothbeans
22,44,45,29.76,29.55,6.04,48.02,mothbeans
38,51,40,24.19,27.81,6.62,30.79,mothbeans
33,53,47,34.18,69.27,6.2,106.05,mungbean
45,32,32,33.12,85.93,6.88,112.29,mungbean
48,58,48,30.75,81.22,6.58,80.6,mungbean
38,52,53,29.93,71.14,6.93,116.98,mungbean
24,48,50,37.75,79.49,7.21,124.36,mungbean
44,43,40,37.34,84.98,6.54,137.73,mungbean
43,52,40,27.18,75.01,7.04,122.74,mungbean
28,51,39,32.21,82.43,7.22,97.24,mungbean
27,41,51,30.92,80.03,7.26,75.28,mungbean
39,47,45,25.32,65.14,6.68,100.94,mungbean
39,59,35,31.97,74.65,6.6,73.83,mungbean
24,46,35,33.35,62.36,7.11,68.54,mungbean
30,51,49,25.41,72.7,6.13,114.62,mungbean
39,52,45,33.98,77.9,6.75,147.86,mungbean
43,45,56,34.59,68.6,7.2,149.75,mungbean
39,34,39,33.99,78.09,6.93,144.67,mungbean
40,59,43,29.36,62.01,7.46,133.53,mungbean
29,59,58,26.11,71.57,6.11,78.97,mungbean
21,56,49,25.72,88.27,6.11,99.46,mungbean
39,32,34,34.87,89.03,6.66,85.05,mungbean
27,40,43,33.2,66.59,6.03,134.4,mungbean
47,46,33,33.76,61.88,6.32,132.81,mungbean
37,35,53,27.01,62.48,6.73,87.22,mungbean
47,43,59,26.78,77.42,6.76,72.97,mungbean
22,41,45,27.27,86.26,6.66,148.58,mungbean
29,54,52,25.74,72.56,6.69,125.25,mungbean
35,47,48,37.89,79.93,6.3,64.05,mungbean
42,36,42,37.86,86.69,6.56,77.56,mungbean
37,42,45,33.53,76.79,7.03,119.23,mungbean
44,32,45,30.29,69.85,6.68,128.62,mungbean
49,37,42,36.57,84.54,6.77,126.26,mungbean
47,55,43,33.38,66.89,6.83,93.5,mungbean
46,35,35,36.11,64.96,7.28,104.17,mungbean
41,31,45,28.71,87.81,7.45,111.41,mungbean
44,35,43,28.29,88.17,7.34,90.37,mungbean
46,58,34,27.28,80.18,6.33,79.64,mungbean
45,49,36,32.66,82.55,6.94,114.03,mungbean
36,49,49,34.75,64.56,6.69,91.61,mungbean
36,53,55,28.08,88.46,7.42,114.89,mungbean
46,55,44,36.81,74.04,6.7,128.45,mungbean
35,52,31,34.89,75.39,7.06,144.17,mungbean
37,58,43,35.76,65.12,6.05,78.4,mungbean
42,46,37,27.95,80.1,6.7,129.62,mungbean
40,52,49,28.62,85.59,7.39,149.68,mungbean
31,32,40,30.84,67.12,6.07,125.21,mungbean
33,54,54,27.46,87.67,7.04,114.97,mungbean
29,59,48,34.76,63.76,7.16,81.32,mungbean
48,50,50,35.86,87.82,6.55,88.62,mungbean
32,48,51,26.14,68.48,6.63,86.33,mungbean
40,48,31,33.68,88.0,6.4,115.03,mungbean
38,53,35,28.84,78.59,6.9,105.57,mungbean
41,55,46,28.66,88.9,6.02,124.44,mungbean
28,33,52,30.66,83.83,6.42,72.8,mungbean
43,56,57,28.39,70.3,7.25,144.19,mungbean
27,53,45,30.89,65.95,6.25,81.6,mungbean
43,41,53,29.44,73.46,7.37,77.05,mungbean
43,59,51,33.6,82.54,7.13,112.01,mungbean
22,53,34,26.49,88.25,7.18,101.62,mungbean
28,50,41,30.35,72.07,7.33,140.6,mungbean
42,33,52,28.89,63.21,6.66,125.67,mungbean
22,55,50,30.59,84.93,6.18,126.14,mungbean
20,49,35,33.87,88.5,6.21,126.05,mungbean
44,50,53,26.52,76.4,7.35,90.96,mungbean
34,52,33,32.56,63.18,7.31,107.08,mungbean
22,37,47,32.29,88.28,6.12,82.85,mungbean
24,55,42,25.98,70.85,6.14,112.66,mungbean
24,38,56,32.73,82.17,6.05,119.28,mungbean
47,41,41,36.35,83.68,7.12,110.51,mungbean
48,51,57,37.79,67.79,7.45,98.81,mungbean
34,31,52,26.5,60.82,6.79,79.64,mungbean
24,44,30,28.29,77.33,6.54,134.12,mungbean
36,51,35,36.65,83.82,6.24,64.66,mungbean
41,55,42,26.1,74.0,6.72,135.68,mungbean
33,43,44,26.81,77.29,7.14,130.34,mungbean
40,53,32,25.22,80.38,6.11,97.87,mungbean
21,55,44,31.18,72.23,6.24,119.08,mungbean
37,33,46,37.07,85.35,6.34,81.52,mungbean
34,48,40,25.57,80.8,6.97,80.83,mungbean
22,55,45,25.61,69.59,6.66,140.93,mungbean
37,30,32,29.61,72.4,7.01,119.23,mungbean
35,44,44,28.74,76.69,6.04,141.65,mungbean
23,42,55,27.19,86.38,6.84,80.82,mungbean
43,44,40,28.41,69.39,7.25,64.52,mungbean
31,48,36,33.26,78.89,6.6,127.72,mungbean
37,47,34,35.15,71.95,6.67,140.42,mungbean
42,34,59,32.02,85.34,6.65,94.11,mungbean
42,35,39,35.97,74.52,6.77,87.76,mungbean
39,35,45,36.5,76.78,7.24,124.16,mungbean
23,33,46,34.47,70.37,7.01,132.49,mungbean
41,30,49,29.97,78.58,6.68,130.22,mungbean
28,57,41,33.57,80.64,6.18,144.47,mungbean
42,39,48,36.53,72.6,6.75,142.52,mungbean
44,57,31,27.22,72.54,7.14,140.82,mungbean
44,43,55,29.43,84.15,6.08,74.37,mungbean
35,31,39,28.04,60.71,7.25,147.72,mungbean
42,46,59,36.29,87.79,6.63,64.56,mungbean
30,45,46,25.13,85.74,7.1,145.21,mungbean
44,41,40,28.98,61.21,6.88,95.79,mungbean
26,51,31,25.8,76.06,6.85,127.63,mungbean
34,52,43,27.53,62.8,6.62,74.7,mungbean
48,46,53,28.37,62.63,5.63,77.39,blackgram
41,58,44,36.32,62.51,5.82,127.72,blackgram
32,49,57,34.87,81.83,6.23,122.44,blackgram
39,48,42,32.44,84.16,6.64,73.85,blackgram
39,54,35,29.51,72.23,5.69,75.42,blackgram
41,33,59,30.09,80.91,5.79,117.74,blackgram
48,33,51,29.39,69.36,5.68,70.0,blackgram
25,35,49,33.74,84.78,6.51,134.19,blackgram
37,34,49,33.53,76.05,5.62,63.14,blackgram
31,31,42,37.9,64.69,6.98,147.96,blackgram
49,32,54,31.59,79.14,6.98,129.12,blackgram
46,49,39,30.56,69.91,6.35,136.55,blackgram
33,36,50,30.59,68.37,5.69,68.96,blackgram
26,55,44,35.64,61.2,6.83,149.28,blackgram
20,44,57,35.15,83.74,6.4,106.05,blackgram
38,55,40,37.73,80.22,6.77,89.19,blackgram
29,56,46,37.27,82.97,5.51,60.12,blackgram
39,35,57,34.99,66.79,6.54,81.0,blackgram
32,53,38,33.48,67.53,6.48,79.11,blackgram
44,49,47,25.58,82.02,6.01,103.07,blackgram
21,41,37,26.64,60.84,6.43,132.61,blackgram
35,49,36,33.21,72.79,6.32,75.72,blackgram
46,31,54,37.55,61.51,6.84,111.92,blackgram
48,36,53,29.72,76.4,6.76,71.47,blackgram
21,55,41,26.96,85.55,6.99,125.42,blackgram
35,58,33,32.87,69.24,6.76,115.3,blackgram
25,32,52,25.01,68.16,5.83,119.57,blackgram
27,48,43,30.75,61.27,6.53,141.24,blackgram
42,43,58,29.46,64.04,5.64,134.84,blackgram
34,41,31,29.14,86.83,6.47,85.94,blackgram
33,44,40,25.0,81.36,6.03,82.9,blackgram
41,59,52,35.6,86.83,6.74,140.89,blackgram
48,35,54,29.99,79.99,6.98,80.32,blackgram
27,52,30,29.09,62.9,5.77,148.86,blackgram
43,40,58,26.14,61.97,6.84,101.74,blackgram
45,50,44,29.14,74.67,6.79,113.31,blackgram
35,48,30,33.22,63.85,6.37,122.41,blackgram
32,49,38,35.45,72.78,6.99,68.33,blackgram
30,42,42,25.33,68.54,6.16,115.54,blackgram
41,40,48,27.94,76.53,6.29,85.4,blackgram
42,40,42,32.04,62.58,5.59,69.49,blackgram
31,44,52,28.04,79.13,6.73,63.74,blackgram
30,48,35,28.28,69.23,6.42,140.81,blackgram
27,37,56,26.76,86.81,5.61,141.7,blackgram
23,54,41,34.12,76.69,6.04,142.02,blackgram
33,50,53,37.01,89.26,6.75,87.27,blackgram
39,51,33,30.15,82.69,6.18,97.11,blackgram
41,38,52,35.27,69.54,6.37,91.11,blackgram
44,51,58,29.41,75.18,5.74,119.23,blackgram
36,32,45,26.48,88.23,6.81,100.69,blackgram
44,48,35,30.03,79.79,6.16,118.34,blackgram
25,52,54,37.23,79.46,6.93,73.63,blackgram
29,54,36,31.83,63.34,6.8,86.76,blackgram
31,50,57,27.11,82.03,5.81,65.27,blackgram
20,36,59,29.73,62.96,5.67,82.88,blackgram
23,47,49,26.03,76.98,6.86,95.67,blackgram
47,58,45,32.26,86.1,6.06,115.3,blackgram
26,45,43,34.82,77.6,6.74,67.22,blackgram
30,31,41,36.91,70.79,5.96,77.57,blackgram
48,30,55,37.84,69.77,6.09,114.3,blackgram
43,51,48,31.71,77.42,6.9,120.5,blackgram
20,39,34,35.22,78.54,6.01,138.65,blackgram
31,52,58,28.64,63.97,6.16,117.96,blackgram
40,41,51,26.65,65.68,6.19,127.69,blackgram
45,30,41,25.63,84.61,6.74,112.92,blackgram
36,31,58,25.89,66.55,6.9,101.95,blackgram
42,54,50,30.38,88.74,6.31,114.46,blackgram
47,48,52,31.22,60.63,6.73,134.24,blackgram
24,39,50,31.8,66.8,6.5,67.21,blackgram
48,56,44,26.86,82.27,5.87,113.82,blackgram
31,44,35,31.65,74.5,6.07,135.52,blackgram
39,44,33,25.1,60.77,6.33,106.84,blackgram
22,45,38,32.25,88.79,5.57,68.82,blackgram
25,31,38,36.74,75.75,6.18,89.74,blackgram
35,43,37,28.86,62.32,5.75,71.42,blackgram
45,43,45,33.85,64.98,5.59,122.17,blackgram
24,40,54,26.85,71.46,6.33,66.91,blackgram
47,54,57,33.34,72.32,6.23,97.39,blackgram
39,57,30,25.29,89.66,5.56,147.1,blackgram
25,45,53,29.1,71.79,5.86,68.73,blackgram
41,47,44,27.7,77.63,5.67,89.88,blackgram
31,44,42,28.65,70.5,6.67,149.33,blackgram
40,55,43,37.5,81.91,6.23,116.76,blackgram
30,52,51,27.35,83.97,6.0,125.78,blackgram
47,57,56,29.84,75.66,5.6,76.31,blackgram
24,55,32,26.82,72.47,6.32,96.25,blackgram
42,57,51,25.77,78.98,6.65,149.47,blackgram
27,41,52,37.34,86.39,6.86,149.24,blackgram
20,35,52,28.94,81.93,6.55,113.01,blackgram
32,40,47,32.48,64.84,6.21,109.81,blackgram
32,41,47,25.9,84.82,5.88,102.57,blackgram
35,49,56,28.4,80.85,6.35,131.66,blackgram
45,37,45,26.7,73.22,5.98,142.08,blackgram
47,46,57,31.68,68.65,5.51,104.66,blackgram
44,58,35,26.19,69.56,5.66,71.57,blackgram
40,32,30,26.19,78.77,6.33,96.66,blackgram
32,32,59,33.35,68.27,6.24,70.95,blackgram
21,54,45,32.76,84.3,6.14,127.49,blackgram
38,38,30,29.26,64.94,5.77,131.16,blackgram
37,31,54,32.22,77.64,6.14,115.39,blackgram
35,60,56,22.23,42.73,7.43,70.53,lentil
43,69,78,23.12,18.44,7.3,76.82,lentil
28,75,53,17.66,28.65,7.11,79.49,lentil
24,69,64,21.63,39.73,7.86,99.79,lentil
29,78,58,23.8,19.58,6.46,92.82,lentil
40,60,52,24.03,18.79,6.42,59.14,lentil
24,59,77,22.58,42.32,6.63,58.75,lentil
42,56,57,23.04,20.68,6.77,56.18,lentil
24,72,74,16.52,28.51,6.11,42.77,lentil
44,62,75,20.75,24.62,7.01,51.85,lentil
37,60,71,18.13,38.35,6.8,30.48,lentil
49,64,79,22.83,47.1,6.74,82.59,lentil
42,52,72,16.43,39.05,7.28,31.79,lentil
36,74,65,19.86,21.49,6.5,52.19,lentil
39,68,59,20.46,47.64,7.74,84.96,lentil
23,74,55,21.9,48.24,7.37,53.21,lentil
36,63,73,17.31,25.79,6.61,34.46,lentil
30,55,78,16.37,48.48,6.66,76.36,lentil
49,76,57,23.71,27.26,7.57,86.23,lentil
32,50,78,22.42,39.69,6.5,91.11,lentil
41,62,57,23.6,48.7,6.44,36.17,lentil
42,58,76,23.36,35.57,6.38,80.43,lentil
28,76,66,19.61,44.52,7.66,79.66,lentil
49,52,69,19.69,40.58,7.84,39.94,lentil
47,73,69,16.13,31.05,7.77,33.3,lentil
25,76,64,23.62,25.46,7.39,74.07,lentil
32,58,51,22.76,30.58,6.28,30.75,lentil
36,62,50,15.56,26.18,7.06,42.01,lentil
37,71,56,23.8,34.18,7.02,39.69,lentil
27,76,71,19.74,32.44,7.74,67.1,lentil
39,70,78,22.85,24.26,7.64,75.41,lentil
36,60,66,17.77,19.47,7.86,76.26,lentil
49,55,66,24.96,31.93,7.84,54.15,lentil
28,54,57,19.79,45.59,6.21,68.77,lentil
41,71,71,23.22,42.09,7.47,91.33,lentil
26,50,50,22.06,27.85,6.48,35.11,lentil
46,50,77,17.34,41.98,7.84,37.56,lentil
21,72,67,16.9,19.25,6.78,86.17,lentil
32,66,54,21.87,44.08,7.75,84.12,lentil
41,68,79,22.78,32.74,7.98,63.83,lentil
29,56,57,17.79,43.04,7.77,57.9,lentil
37,60,78,22.06,29.06,6.01,58.24,lentil
38,73,68,15.18,46.93,6.14,99.43,lentil
41,66,66,17.34,20.18,6.37,68.89,lentil
42,77,52,18.63,32.04,7.95,86.55,lentil
38,58,59,16.07,48.51,6.12,50.84,lentil
36,55,63,21.74,45.02,7.83,80.26,lentil
42,68,74,15.71,47.1,6.38,87.49,lentil
48,55,54,16.72,33.25,7.48,39.73,lentil
46,78,71,15.13,34.38,7.54,95.44,lentil
30,66,74,23.03,49.39,7.21,65.26,lentil
21,63,62,18.93,35.43,6.32,78.39,lentil
29,67,78,19.47,44.55,7.31,58.78,lentil
20,71,64,20.47,20.8,6.75,58.95,lentil
42,72,75,17.1,26.35,7.94,81.43,lentil
23,62,72,18.92,48.33,6.28,83.45,lentil
20,65,72,21.2,33.29,6.96,83.76,lentil
22,72,78,16.46,48.02,7.84,92.12,lentil
37,60,56,23.2,35.98,7.34,94.84,lentil
29,56,75,20.96,44.06,6.76,39.26,lentil
29,68,64,18.0,38.57,7.2,78.73,lentil
34,79,76,22.13,24.18,6.94,63.08,lentil
23,67,56,19.13,24.38,6.82,35.06,lentil
45,50,60,15.56,37.51,6.48,57.08,lentil
32,73,57,17.07,35.41,6.46,89.42,lentil
44,77,79,23.12,28.97,6.22,69.93,lentil
49,57,75,22.42,35.49,7.77,68.78,lentil
32,66,67,22.29,27.65,7.2,44.09,lentil
33,66,78,18.39,48.47,7.48,71.82,lentil
30,61,58,18.14,33.97,6.43,91.08,lentil
45,69,75,19.24,28.95,7.92,61.14,lentil
40,52,51,24.17,35.71,6.6,60.16,lentil
43,52,60,22.96,44.65,7.97,85.39,lentil
41,56,63,22.42,43.76,7.69,57.65,lentil
36,74,59,15.63,30.4,7.17,62.49,lentil
25,65,69,16.86,41.98,7.09,44.28,lentil
26,50,75,15.27,30.18,6.21,67.19,lentil
45,60,51,19.27,33.2,7.8,66.75,lentil
32,63,73,21.81,39.34,7.02,60.01,lentil
27,51,59,24.77,25.76,7.33,88.74,lentil
47,51,69,23.57,48.04,6.98,79.06,lentil
23,63,65,18.09,47.98,7.03,64.81,lentil
23,71,67,18.28,44.1,7.19,57.55,lentil
26,65,68,18.4,45.83,6.18,84.38,lentil
46,54,60,17.74,44.49,7.48,85.23,lentil
28,64,52,16.96,24.78,6.08,52.54,lentil
30,55,57,24.29,41.64,6.61,48.56,lentil
29,61,55,20.28,26.28,6.11,80.83,lentil
36,52,79,23.12,33.43,6.11,42.22,lentil
21,59,70,21.17,49.03,7.46,94.58,lentil
36,59,51,16.84,28.51,6.97,31.73,lentil
31,58,51,20.29,28.7,7.04,43.83,lentil
39,65,57,22.74,30.34,7.01,89.92,lentil
37,70,71,20.58,29.1,7.87,94.59,lentil
26,58,50,22.25,44.77,7.72,52.12,lentil
29,72,79,15.12,35.69,7.48,63.95,lentil
29,73,57,18.37,23.75,6.56,62.03,lentil
20,76,67,15.75,21.4,7.67,46.79,lentil
46,59,63,23.28,30.1,7.96,62.64,lentil
42,51,74,15.53,44.69,6.24,33.16,lentil
27,10,50,23.02,63.02,6.29,111.67,pomegranate
38,27,58,29.42,69.97,6.13,60.66,pomegranate
31,19,52,33.33,88.99,7.44,136.51,pomegranate
34,22,37,28.34,85.45,6.87,79.0,pomegranate
45,25,30,19.91,72.57,5.73,67.19,pomegranate
35,14,55,28.93,67.49,6.19,135.2,pomegranate
46,21,31,18.32,88.91,6.25,110.32,pomegranate
21,14,36,36.65,77.27,5.75,108.17,pomegranate
47,18,44,35.6,79.46,7.3,112.35,pomegranate
40,23,47,34.9,74.29,6.84,90.24,pomegranate
22,24,45,21.1,71.19,5.92,119.58,pomegranate
48,14,52,24.52,74.06,5.8,148.47,pomegranate
27,22,52,37.04,70.26,7.47,133.86,pomegranate
40,19,54,18.18,71.46,6.1,53.74,pomegranate
28,21,34,36.26,71.64,7.16,63.37,pomegranate
33,11,42,26.91,74.64,7.13,59.92,pomegranate
25,13,50,24.64,81.02,7.03,142.94,pomegranate
29,20,54,22.71,69.31,6.3,74.23,pomegranate
29,21,51,37.66,79.28,6.94,147.66,pomegranate
31,11,33,30.58,79.21,7.2,124.09,pomegranate
49,11,38,29.86,74.68,5.77,74.25,pomegranate
47,19,45,19.17,69.0,6.45,66.8,pomegranate
45,26,45,37.08,85.97,6.65,117.4,pomegranate
45,26,59,31.29,72.58,6.9,91.07,pomegranate
26,11,46,31.83,79.84,5.58,86.83,pomegranate
27,25,48,28.29,85.71,6.43,85.97,pomegranate
44,24,42,35.29,73.71,6.45,88.61,pomegranate
23,12,51,31.78,85.91,7.49,92.69,pomegranate
31,13,41,22.08,84.79,6.62,55.46,pomegranate
47,25,34,26.03,75.08,7.18,115.08,pomegranate
32,27,43,20.58,68.94,7.06,97.16,pomegranate
26,21,50,24.65,88.2,6.19,148.81,pomegranate
29,18,42,19.05,73.51,6.01,85.19,pomegranate
38,17,30,32.41,68.45,5.87,53.94,pomegranate
28,26,34,18.39,65.66,6.33,143.58,pomegranate
30,28,33,29.24,63.36,6.72,106.84,pomegranate
30,26,33,27.54,71.68,7.27,139.39,pomegranate
45,25,53,36.62,61.52,6.59,139.04,pomegranate
24,27,44,23.65,68.37,6.31,149.88,pomegranate
22,19,50,25.85,73.43,6.96,85.78,pomegranate
32,29,49,20.31,86.09,6.44,121.29,pomegranate
25,28,50,29.42,87.29,5.51,131.07,pomegranate
38,16,51,21.23,88.82,6.58,51.42,pomegranate
34,11,59,31.86,81.99,7.49,78.75,pomegranate
46,16,46,35.65,62.91,5.61,62.92,pomegranate
49,21,33,30.06,66.82,6.59,119.5,pomegranate
37,19,54,31.36,64.0,7.2,131.72,pomegranate
42,26,30,24.94,72.95,7.06,98.42,pomegranate
48,12,51,33.93,70.14,6.91,68.75,pomegranate
32,10,39,23.22,60.27,6.8,101.11,pomegranate
37,25,43,19.59,81.21,6.81,137.25,pomegranate
37,21,37,29.66,81.54,6.24,59.24,pomegranate
25,18,56,32.36,63.73,6.7,105.04,pomegranate
33,13,36,37.33,73.3,6.14,102.61,pomegranate
41,25,49,22.61,63.19,7.14,63.9,pomegranate
26,21,39,24.41,65.77,6.12,147.49,pomegranate
37,11,39,28.45,79.23,7.07,90.51,pomegranate
28,28,57,25.62,74.88,5.52,99.21,pomegranate
32,28,59,25.91,80.62,7.13,91.74,pomegranate
22,12,51,31.54,63.57,5.64,98.35,pomegranate
36,16,42,28.9,63.77,6.08,73.88,pomegranate
25,28,34,32.45,60.22,6.52,63.93,pomegranate
25,13,53,37.09,84.0,5.98,56.8,pomegranate
41,12,53,28.12,83.33,7.22,134.49,pomegranate
46,15,46,21.66,66.97,6.77,149.29,pomegranate
32,29,31,24.59,80.8,7.03,80.41,pomegranate
42,12,32,34.32,89.52,7.32,135.18,pomegranate
32,18,54,31.25,78.29,7.33,65.64,pomegranate
27,25,42,18.04,67.82,6.54,122.22,pomegranate
40,19,39,32.29,73.34,5.55,94.93,pomegranate
32,11,35,21.64,75.12,6.15,75.81,pomegranate
44,21,36,23.96,73.65,5.83,80.41,pomegranate
33,15,35,34.16,83.03,5.73,114.39,pomegranate
48,17,34,33.3,67.97,7.11,75.18,pomegranate
37,15,51,19.63,73.05,6.09,104.54,pomegranate
29,25,41,33.9,64.9,5.71,64.55,pomegranate
47,11,59,31.34,68.01,7.32,93.57,pomegranate
26,22,49,30.52,62.26,5.72,54.93,pomegranate
26,19,44,23.2,71.55,7.39,111.04,pomegranate
34,25,48,32.72,68.25,6.78,84.1,pomegranate
23,12,53,23.58,87.92,5.55,119.67,pomegranate
46,10,50,26.16,70.43,5.54,59.18,pomegranate
34,27,56,30.95,63.85,6.8,148.25,pomegranate
44,20,35,29.77,66.38,5.69,56.42,pomegranate
48,19,34,35.17,73.91,7.07,144.69,pomegranate
37,21,33,28.51,61.98,7.45,86.01,pomegranate
29,14,43,34.34,82.49,6.9,80.69,pomegranate
45,17,34,20.51,79.67,5.58,109.77,pomegranate
39,24,42,26.98,73.78,5.65,117.08,pomegranate
25,15,43,36.75,70.56,6.39,117.17,pomegranate
25,17,48,30.62,60.75,6.94,101.4,pomegranate
33,27,54,28.54,77.48,6.87,125.31,pomegranate
41,25,33,21.76,65.53,5.61,108.78,pomegranate
27,25,35,18.98,77.18,7.14,82.67,pomegranate
28,22,55,26.81,67.81,7.18,121.56,pomegranate
48,14,39,22.12,70.57,5.75,62.99,pomegranate
44,18,50,30.39,62.32,6.53,84.33,pomegranate
48,12,35,29.58,78.55,7.06,120.33,pomegranate
42,11,41,31.46,74.92,7.4,79.99,pomegranate
20,26,56,37.16,61.0,6.66,66.65,pomegranate
90,73,71,29.32,61.44,6.23,102.93,banana
89,52,73,27.51,87.35,5.72,229.19,banana
94,65,64,30.25,77.81,6.63,161.89,banana
84,52,62,34.76,68.77,5.94,170.91,banana
102,56,76,26.87,67.77,6.82,139.33,banana
94,51,58,29.21,66.69,6.32,236.8,banana
111,77,62,24.52,65.65,5.96,118.6,banana
104,65,75,27.7,63.22,6.14,190.47,banana
116,70,53,22.5,87.71,6.73,170.81,banana
97,71,51,30.16,80.48,6.44,153.22,banana
105,70,66,33.36,77.08,6.75,298.32,banana
116,51,69,20.1,74.01,6.53,145.26,banana
99,51,68,23.35,85.71,6.73,189.67,banana
108,56,63,26.57,69.31,6.64,287.24,banana
89,60,66,34.29,67.18,6.44,194.82,banana
97,58,79,33.68,79.0,6.58,151.43,banana
108,64,78,24.49,73.73,5.64,279.63,banana
90,63,52,26.08,77.88,5.66,103.38,banana
97,75,69,32.3,89.98,5.82,153.03,banana
93,50,77,23.55,62.52,6.66,226.04,banana
84,62,58,20.93,82.03,6.28,142.64,banana
108,52,75,25.67,62.65,6.01,296.28,banana
83,74,68,22.5,89.59,6.73,156.3,banana
110,61,64,33.93,74.9,6.76,189.18,banana
89,73,60,25.41,82.59,6.25,125.56,banana
82,62,52,27.12,84.48,6.15,259.28,banana
91,66,53,29.06,78.9,6.13,128.86,banana
119,69,63,29.66,68.31,6.17,169.05,banana
